"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","ANUNDA_CODE","COMMENT","LATESTREVISIONDATE","LATESTREVISIONNOTE","MANUFACTURER","MANUFACTURER PART NUMBER","MFG","MFG P/N","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PRICE","PUBLISHED","PUBLISHER","REVISION","SOLDER","SUPPLIER","SHEETPART","DESIGNATOR","DESCRIPTION"
"18650BATT1C","18650BAT1C_SMD","","","18650_HOLDER_1C","","","","","","","","","","","","","","","*","B?","18650 Battery 1 Cell Holder SMD"
"18650BATT2","18650BATT2","","","18650_HOLDER_2C","","","","","","","","","","","","","","","*","B?","18650 Battery 2 Cell Holder SMD"
"CLIP18650","CLIP18650","","","CLIP18650","","","","","","","","","","","","","","","*","BCL?","clip 18650"
"Circuit Breaker","SPST-2","JP2_SMD","","Circuit Breaker","","","","","","","","","","24-Mar-1999","Altium Limited","July-2002: Re-released for DXP Platform.","NO","","","SB?","Circuit Breaker"
"Fuse _auto","Keystone_3557-2","","","Fuse_Auto","17-Jul-2002","Re-released for DXP Platform.","","","","","Thru-Hole; 2 Leads","PIN-W2/E2.8","","8-Jun-2000","Altium Limited","","","","","F?","Automive Fuse Holder 19mm x5 mm"
"HDR27","HDR27","","","HEADER27","","","","","","","","","","","","","","","*","P?",""
"Header 2","B2B-XH-A","","","Header 2","17-Jul-2002","Re-released for DXP Platform.","","","","","","","","","Altium Limited","","","","","P?","Header, 2-Pin"
"Header 3","B3B-XH-A","","","Header 3","17-Jul-2002","Re-released for DXP Platform.","","","","","","","","","Altium Limited","","","","","P?","Header, 3-Pin"
"Header 6","B6B-XH-A","","","Header 6","17-Jul-2002","Re-released for DXP Platform.","","","","","","","","","Altium Limited","","","","","P?","Header, 6-Pin"
"Header_25","HDR1X25M","","","Header 25H","17-Jul-2002","Re-released for DXP Platform.","","","","","","","","","Altium Limited","","","","","P1","Header, 25-Pin"
"JP2","SIP2/2.54","","","","","","","","","","","","","","","","","","*","JP?",""
"JP_SMD","JP0603","","","Jumper","","","","","","","","","","","","","","","*","JP?","Jumper SMD 0603 size"
"Jumper","JUMPER2.0p","","","Jumper","","","","","","","","","","","","","","","*","JP?","Small Jumper for (M) pin header pitch 2.0mm"
"LAN_HY911103A","LAN_HY911103A","","N2311","RJ45_HY911103A","","","","","","","","","","","","","","","*","CON?","ConnectorRJ45 Magnetic with 2 LEDfor 10/100"
"MicroSIM","WE-693022010811","","N1986","MicroSIM","","","","","AUK CONNECTOR","SCPW06L20020-R5H-HCN","","","13.26","","","","","AUK","","P?","Connector for Micro SIM card ,8 pin, 1.27 mm pitch PCB SMT"
"MicroSIM_molex","MOLEX-788000001","","D0920","MicroSIM","","","","","AUK CONNECTOR","SCPW06L20020-R5H-HCN","","","13.26","","","","","AUK","","P?","Connector Micro SIM Card Hinged Lid 6-Contact 1.6mm Height"
"PCB_TERM","PCB_TERM_TAB635","","","*","","","","","","","","","","","","","","","*","JP?",""
"SIMCARD","MOLEX-0475532001","","N1025","SIMCARD","","","","","AUK CONNECTOR","SCPW06L20020-R5H-HCN","","","13.26","","","","","AUK","","P?","Connector for Multipole SIM card ,6 pin, 1.27 mm pitch PCB SMT"
"UFL_RECP","UFL_recep_SMT","","D0696","UFL","","","","","","","","","","","","","","","*","J?","Connector UMCC IPEX MHF1 Receptacle (M) SMD 50 Ohm"
"USB4105-GF-A-060","USB4105-GF-A-060","","","USB4105-GF-A-060","","","GCT","USB4105-GF-A-060","","","","","","","","","","","*","J?","USB Connector Type C SMT 12 Pin"
"USB4145-03-0170-C","USB4145-03-0170-C","","","USB4145-03-0170-C","","","GCT","USB4145-03-0170-C","","","","","","","","","","","*","J?","USB Connector Type C SMT 16 Pin Vertical"
"USB4510-03-1-A","USB4510-03-1-A","","","USB4510-03-1-A","","","GCT","USB4510-03-1-A","","","","","","","","","","","*","J?","USB Connector Type C SMT Mid-Mount 16 Pin"
"USBmicroB","microUSB_ mix_amPN","","N1953","USBmicroB","","","","","","","","","","","","","","","","J?","Micro USB 2.0 ReceptacleType B Connector 5 Position, R/A(Digikey:609-4618-1-ND)"
"USBmicroB_ST","microUSB_ mix_Standoff","","N2253","USBmicroB_ST","","","","","","","","","","","","","","","","J?","Micro USB 2.0 ReceptacleType B Connector 5 Position, S/T(105133-0001)"
"USBmini","MiniUSBtype B","","","USBmini","","","","","","","","","","","","","","","","J?","USB mini type B 5 pins receptacle"
